"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","1","pytest_overview","test_fixtures_params","","","","test_numbers[1]",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","fizz_buzz_kata","test_fizz_buzz","","","","test_multiplication[15-Fizz_buzz]",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","pytest_overview","test_floats","","","","test_floats",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","pytest_overview","test_fixtures_params","","","","test_multiplication[10-5-5]",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","pytest_overview","test_fixtures","","","","test_fixture_2",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","pytest_overview","test_scope","TestClass","","","test_1",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","pytest_overview","test_scope","","","","test_2",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","fizz_buzz_kata","test_fizz_buzz","","","","test_multiplication[3-Fizz]",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","pytest_overview","test_fixtures","","","","test_fixture_1",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","1","fizz_buzz_kata","test_fizz_buzz","","","","test_multiplication[2-2]",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","pytest_overview","test_scope","TestClass","","","test_2",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","pytest_overview","test_fixtures_params","","","","test_multiplication[10-6-4]",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","pytest_overview","test_floats","","","","test_floats2",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","pytest_overview","test_fixtures_params","","","","test_numbers[2]",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","pytest_overview","test_fixtures_teardown","","","","test_fixture_2",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","fizz_buzz_kata","test_fizz_buzz","","","","test_multiplication[10-Buzz]",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","pytest_overview","test_setup_class","TestClass","","","test2",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","pytest_overview","test_setup_class","TestClass","","","test1",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","fizz_buzz_kata","test_fizz_buzz","","","","test_multiplication[6-Fizz]",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","pytest_overview","test_discovery","TestMyClass","","","test_my_class_1",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","fizz_buzz_kata","test_fizz_buzz","","","","test_multiplication[5-Buzz]",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","pytest_overview","test_scope","","","","test_1",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","pytest_overview","test_setup","","","","test2",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","pytest_overview","test_setup","","","","test1",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","pytest_overview","test_fixtures_params","","","","test_multiplication[10-2-8]",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","pytest_overview","test_fixtures_params","","","","test_numbers[3]",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","pytest_overview","test_discovery","TestMyClass","","","test_my_class_2",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","fizz_buzz_kata","test_fizz_buzz","","","","test_multiplication[1-1]",""
"skipped","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","pytest_overview","test_exceptions","","","","test_2",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","1","pytest_overview","test_fixtures_teardown","","","","test_fixture_1",""
"passed","Mon Jun 07 15:53:13 GMT 2021","Mon Jun 07 15:53:13 GMT 2021","0","pytest_overview","test_exceptions","","","","test_1",""
